district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,川师,比华利国际城一期 ,西北,有,中楼层,3室2厅,其他,2014,134.0,255.0,18993
锦江,川师,华润幸福里二期 ,东,有,高楼层,3室1厅,简装,2014,88.0,220.0,24882
锦江,合江亭,水岸银座 ,东南,有,低楼层,1室1厅,其他,2014,52.0,120.0,22736
锦江,琉璃场,天悦龙庭 ,南,有,低楼层,4室1厅,其他,2014,143.0,286.0,19946
锦江,盐市口,财富中心 ,南,有,中楼层,2室1厅,其他,1999,70.0,220.0,31065
锦江,沙河堡,索尔龙舟 ,东,有,高楼层,1室1厅,毛坯,1999,36.0,31.0,8597
锦江,九眼桥,东恒国际 ,南,有,低楼层,2室1厅,其他,1999,67.0,72.0,10653
锦江,沙河堡,望江锦园 ,北,有,高楼层,2室1厅,其他,2014,73.0,140.0,19179
锦江,九眼桥,莲花逸都 ,东南,有,中楼层,1室1厅,精装,1999,56.0,118.0,21027
锦江,攀成钢,镏金岁月 ,南,有,低楼层,3室2厅,精装,1999,114.0,280.0,24489
锦江,三官堂,瑞升望江橡树林二期 ,西,有,高楼层,3室2厅,简装,1999,90.0,270.0,29901
锦江,盐市口,桂王桥东街4号 ,南,无,高楼层,3室2厅,其他,1999,116.0,165.0,14176
锦江,攀成钢,澳龙名城 ,东南,有,高楼层,3室2厅,其他,2014,123.0,340.0,27643
锦江,沙河堡,四川省原子能研究院住宅（老） ,南,无,中楼层,3室2厅,其他,2014,102.0,130.0,12746
锦江,九眼桥,国嘉新视界 ,南,有,中楼层,2室1厅,其他,2014,61.0,125.0,20263
锦江,卓锦城,锦江逸家 ,西北,有,低楼层,3室1厅,精装,2014,62.0,165.0,26494
锦江,沙河堡,华宇广场 ,东南,有,中楼层,2室1厅,其他,2010,50.0,95.0,19000
锦江,盐市口,阳光365 ,东,有,高楼层,2室1厅,其他,2010,57.0,200.0,34990
锦江,九眼桥,朝阳名宅 ,西南,有,高楼层,3室2厅,简装,2010,125.0,239.0,18985
锦江,红星路,天涯商住楼 ,东南,无,中楼层,2室2厅,简装,2010,98.0,236.0,23880
锦江,川师,比华利国际城一期 ,西北,有,低楼层,3室2厅,精装,2010,104.0,210.0,20139
锦江,沙河堡,华宇广场 ,东南,有,中楼层,2室2厅,精装,2010,49.0,90.0,18368
锦江,九眼桥,摩根中心 ,东,有,高楼层,3室1厅,其他,2010,146.0,319.0,21832
锦江,莲花,莲花新一区 ,东,无,中楼层,2室1厅,简装,2010,68.0,95.0,13932
锦江,合江亭,三圣街33号 ,南,无,中楼层,3室2厅,简装,2010,97.0,170.0,17369
锦江,三圣乡,蓝润V客东都二期 ,东南,有,中楼层,1室1厅,其他,2015,31.0,39.0,12581
锦江,莲花,钢管厂五区 ,东北,无,高楼层,2室1厅,简装,2015,66.0,78.0,11667
锦江,静居寺,东光街7号 ,东南,无,高楼层,2室1厅,简装,2015,55.0,70.0,12595
锦江,琉璃场,蓝光凯丽香江 ,南,有,低楼层,2室2厅,简装,2015,71.0,130.0,18223
锦江,盐市口,大地城市脉搏 ,东南,有,高楼层,2室1厅,简装,2015,72.0,168.0,23308
锦江,蓝谷地,海桐一期 ,西北,有,中楼层,3室2厅,其他,2015,123.0,168.0,13581
锦江,水碾河,蜀都花园 ,南,有,中楼层,4室2厅,其他,2014,137.0,240.0,17506
锦江,静居寺,青房云上二期 ,南,无,中楼层,3室2厅,精装,2014,129.0,280.0,21698
锦江,三官堂,瑞升望江橡树林二期 ,南北,有,高楼层,3室2厅,精装,2014,89.0,248.0,27819
锦江,川师,比华利国际城二期 ,南,有,中楼层,4室2厅,其他,2014,108.0,255.0,23612
锦江,盐市口,财富中心 ,东南,有,中楼层,1室1厅,精装,2014,50.0,165.0,32713
锦江,水碾河,水碾河路6号 ,南,无,低楼层,2室1厅,其他,2014,64.0,95.8,14846
锦江,盐市口,暑袜北一街138号 ,东南,暂无数据,低楼层,2室1厅,其他,2014,62.0,95.0,15106
